keyword,using top 1,using top 3,using weight > 50,all
@kylekulinski,Americas,Americas,Americas,Americas
@amitshah,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@myogiadityanath,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@jeremycorbyn,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
#enhypen,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@sidneypowell1,Americas,Americas,Americas,Americas
@jlmelenchon,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@vivicanosaok,Americas,Americas,Americas,Americas
#concours,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@cjtruth,Americas,Americas,Americas,Americas
@pmoindia,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@thehill,Americas,Americas,Americas,Americas
@saracarterdc,Americas,Americas,Americas,Americas
@dailycaller,Americas,Americas,Americas,Americas
@gop,Americas,Americas,Americas,Americas
@teapainusa,Americas,Americas,Americas,Americas
@andrewyang,Americas,Americas,Americas,Americas
#valimai,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@afneil,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@ananavarro,Americas,Americas,Americas,Americas
#stopthesteal,Americas,Americas,Americas,Americas
@lopezobrador_,Americas,Americas,Americas,Americas
@mmpadellan,Americas,Americas,Americas,Americas
@amy_siskind,Americas,Americas,Americas,Americas
@bolsonarosp,Americas,Americas,Americas,Americas
@repswalwell,Americas,Americas,Americas,Americas
@rahulgandhi,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
#wethepeople,Americas,Americas,Americas,Americas
@bethmoorelpm,Americas,Americas,Americas,Americas
@teamtrump,Americas,Americas,Americas,Americas
@jairbolsonaro,Americas,Americas,Americas,Americas
#abortolegal2020,Americas,Americas,Americas,Americas
@senategop,Americas,Americas,Americas,Americas
@ivanduque,Americas,Americas,Americas,Americas
@nintendoamerica,Americas,Americas,Americas,Americas
@realmadrid,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
#nfl,Americas,Americas,Americas,Americas
@iheartmindy,Americas,Americas,Americas,Americas
@dbongino,Americas,Americas,Americas,Americas
@taoquei1,Americas,Americas,Americas,Americas
@arithedon,Americas,Americas,Americas,Americas
@oreo,Americas,Americas,Americas,Americas
@georgepapa19,Americas,Americas,Americas,Americas
@wizkidayo,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@actorvijay,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@aajtak,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@justintrudeau,Americas,Americas,Americas,Americas
@gtconway3d,Americas,Americas,Americas,Americas
@tomfitton,Americas,Americas,Americas,Americas
@mckaylarosej,Americas,Americas,Americas,Americas
@carlosloret,Americas,Americas,Americas,Americas
@pabloalboran,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@ggreenwald,Americas,Americas,Americas,Americas
@tedcruz,Americas,Americas,Americas,Americas
#rahulvaidya,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@jguaido,Americas,Americas,Americas,Americas
@kloeffler,Americas,Americas,Americas,Americas
#michigan,Americas,Americas,Americas,Americas
@nfl,Americas,Americas,Americas,Americas
@anonpatriotq,Americas,Americas,Americas,Americas
@fiersabesari,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@winmetawin,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@billkristol,Americas,Americas,Americas,Americas
@ani,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@annakhait,Americas,Americas,Americas,Americas
@aeon_japan,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
#venezuela,Americas,Americas,Americas,Americas
@allanldsantos,Americas,Americas,Americas,Americas
@claytravis,Americas,Americas,Americas,Americas
@copingmaga,Americas,Americas,Americas,Americas
#rosmello,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@ali,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@laurenboebert,Americas,Americas,Americas,Americas
@marklevinshow,Americas,Americas,Americas,Americas
@therickwilson,Americas,Americas,Americas,Americas
@msnbc,Americas,Americas,Americas,Americas
@urstrulymahesh,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@kanganateam,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@famima_now,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
#cherprangbnk48,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
#farmersprotest,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@drericding,Americas,Americas,Americas,Americas
#scotus,Americas,Americas,Americas,Americas
#bb14,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@felipeneto,Americas,Americas,Americas,Americas
@majorpatriot,Americas,Americas,Americas,Americas
@atensnut,Americas,Americas,Americas,Americas
@chumeltorres,Americas,Americas,Americas,Americas
@mbuhari,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@vtvcanal8,Americas,Americas,Americas,Americas
@bennyjohnson,Americas,Americas,Americas,Americas
#nuest,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@dc_draino,Americas,Americas,Americas,Americas
@saudinews50,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@donwinslow,Americas,Americas,Americas,Americas
#canyaman,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@rudygiuliani,Americas,Americas,Americas,Americas
@nytimes,Americas,Americas,Americas,Americas
@rexchapman,Americas,Americas,Americas,Americas
@mashirafael,Americas,Americas,Americas,Americas
@swamy39,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
#lisa,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@therightmelissa,Americas,Americas,Americas,Americas
@scottadamssays,Americas,Americas,Americas,Americas
@vox_es,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
#gfvip,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@newsmax,Americas,Americas,Americas,Americas
@joebiden,Americas,Americas,Americas,Americas
@jaketapper,Americas,Americas,Americas,Americas
#blackpink,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
#master,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
#ahora,Americas,Americas,Americas,Americas
@cnnbrk,Americas,Americas,Americas,Americas
#handeerçel,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@g1,Americas,Americas,Americas,Americas
