keyword,using top 1,using top 3,using weight > 50,all
otro,Americas,Americas,Americas,Americas
otra,Americas,Americas,Americas,Americas
igual,Americas,Americas,Americas,Americas
berani,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
hermana,Americas,Americas,Americas,Americas
dela,Americas,Americas,Americas,Americas
dão,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
dele,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@amitshah,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
gerade,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
oficialmente,Americas,Americas,Americas,Americas
@myogiadityanath,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
semakin,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
importantes,Americas,Americas,Americas,Americas
segunda,Africa_Europe,Africa_Europe,Africa_Europe,Americas
fuera,Americas,Americas,Americas,Americas
esos,Africa_Europe,Africa_Europe,Africa_Europe,Americas
tirei,Americas,Africa_Europe,Americas,Africa_Europe
canción,Americas,Americas,Americas,Americas
nasceu,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
saludos,Americas,Americas,Americas,Americas
günün,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
culo,Americas,Americas,Americas,Americas
aja,Asia_Australia,Asia_Australia,Asia_Australia,Africa_Europe
china,Asia_Australia,Asia_Australia,Asia_Australia,Africa_Europe
abre,Americas,Americas,Americas,Americas
dnv,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
lanche,Americas,Americas,Americas,Americas
funciona,Americas,Americas,Americas,Americas
@sidneypowell1,Americas,Americas,Americas,Americas
females,Africa_Europe,Americas,Americas,Africa_Europe
hermano,Africa_Europe,Americas,Americas,Americas
hola,Africa_Europe,Africa_Europe,Africa_Europe,Americas
busca,Americas,Americas,Americas,Americas
penting,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
pinta,Americas,Americas,Americas,Americas
tuvo,Americas,Americas,Americas,Americas
recién,Americas,Americas,Americas,Americas
área,Americas,Africa_Europe,Americas,Americas
hoy,Americas,Americas,Americas,Americas
swing,Americas,Americas,Americas,Africa_Europe
sería,Americas,Americas,Americas,Americas
sentir,Africa_Europe,Africa_Europe,Africa_Europe,Americas
אבל,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
realidade,Americas,Africa_Europe,Africa_Europe,Africa_Europe
peux,Americas,Americas,Africa_Europe,Africa_Europe
günü,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
dejen,Americas,Americas,Americas,Americas
fiz,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
gimana,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
fim,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
brasileiro,Americas,Americas,Americas,Africa_Europe
até,Americas,Africa_Europe,Africa_Europe,Africa_Europe
mdr,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
mds,Asia_Australia,Asia_Australia,Asia_Australia,Africa_Europe
maluco,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
haben,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
goles,Americas,Americas,Americas,Americas
kkkkkkkk,Americas,Americas,Americas,Africa_Europe
correcto,Americas,Americas,Americas,Americas
beleza,Americas,Africa_Europe,Africa_Europe,Africa_Europe
vacunas,Americas,Americas,Americas,Americas
tahun,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
vergüenza,Americas,Americas,Americas,Americas
کرنے,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
bateu,Americas,Africa_Europe,Americas,Africa_Europe
bater,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
ata,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
sahi,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
walmart,Americas,Americas,Americas,Americas
deixar,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
desgraça,Americas,Africa_Europe,Africa_Europe,Africa_Europe
tantos,Americas,Americas,Americas,Americas
está,Americas,Africa_Europe,Americas,Americas
esté,Americas,Americas,Americas,Americas
ikke,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
basketball,Americas,Americas,Americas,Americas
yüksek,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
entra,Africa_Europe,Africa_Europe,Africa_Europe,Americas
wisdom,Asia_Australia,Africa_Europe,Americas,Africa_Europe
parabéns,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
yeniden,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
amém,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
trem,Americas,Americas,Americas,Americas
este,Africa_Europe,Africa_Europe,Africa_Europe,Americas
esta,Americas,Americas,Americas,Americas
pesado,Americas,Americas,Americas,Americas
esto,Americas,Americas,Americas,Americas
longe,Americas,Africa_Europe,Africa_Europe,Africa_Europe
kayo,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
است,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
kaya,Americas,Americas,Americas,Africa_Europe
receber,Americas,Americas,Americas,Africa_Europe
campaña,Americas,Americas,Americas,Americas
aceitar,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
nuevos,Americas,Americas,Americas,Americas
brexit,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
carinho,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
dois,Americas,Africa_Europe,Africa_Europe,Africa_Europe
conversando,Americas,Americas,Americas,Americas
если,Asia_Australia,Asia_Australia,Asia_Australia,Africa_Europe
adiós,Americas,Americas,Americas,Americas
lpm,Americas,Americas,Americas,Africa_Europe
cama,Americas,Americas,Americas,Americas
mensaje,Americas,Americas,Americas,Americas
tequila,Americas,Americas,Americas,Americas
terlalu,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
doido,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
doida,Americas,Africa_Europe,Africa_Europe,Africa_Europe
boleh,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
rico,Americas,Americas,Americas,Americas
badan,Africa_Europe,Asia_Australia,Africa_Europe,Asia_Australia
plate,Americas,Americas,Americas,Africa_Europe
plata,Americas,Americas,Americas,Americas
بقى,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
ótimo,Americas,Americas,Americas,Americas
lembrando,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
compras,Americas,Americas,Americas,Americas
comprar,Africa_Europe,Africa_Europe,Africa_Europe,Americas
acabou,Americas,Americas,Americas,Africa_Europe
sueños,Americas,Americas,Americas,Americas
feio,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
guerra,Africa_Europe,Africa_Europe,Americas,Americas
diferença,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
peço,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
huhuhu,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
sedang,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
berarti,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
alguien,Americas,Americas,Americas,Americas
debo,Americas,Americas,Americas,Americas
debe,Americas,Americas,Americas,Americas
vídeo,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
geht,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
respeto,Americas,Americas,Americas,Americas
questa,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
questo,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
