keyword,using top 1,using top 3,using weight > 50,all
otro,Americas,Americas,Americas,Americas
otra,Americas,Americas,Americas,Americas
igual,Americas,Americas,Americas,Americas
berani,Africa_Europe,Africa_Europe,Africa_Europe,Asia_Australia
hermana,Americas,Americas,Americas,Americas
dela,Americas,Americas,Africa_Europe,Americas
dão,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
dele,Americas,Americas,Americas,Americas
gerade,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
oficialmente,Americas,Americas,Americas,Americas
semakin,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
importantes,Americas,Americas,Americas,Americas
segunda,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
fuera,Americas,Americas,Americas,Americas
esos,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
tirei,Americas,Americas,Americas,Americas
canción,Americas,Americas,Americas,Americas
nasceu,Americas,Americas,Americas,Americas
saludos,Americas,Americas,Americas,Americas
günün,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
culo,Americas,Americas,Americas,Americas
aja,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
china,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
abre,Americas,Americas,Americas,Americas
dnv,Americas,Americas,Americas,Americas
lanche,Americas,Americas,Americas,Americas
funciona,Americas,Americas,Americas,Americas
females,Americas,Africa_Europe,Africa_Europe,Americas
hermano,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
hola,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
busca,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
penting,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
pinta,Americas,Americas,Americas,Americas
tuvo,Americas,Americas,Americas,Americas
recién,Americas,Americas,Americas,Americas
área,Americas,Americas,Americas,Americas
hoy,Americas,Americas,Americas,Americas
swing,Americas,Americas,Americas,Americas
sería,Americas,Americas,Americas,Americas
sentir,Africa_Europe,Americas,Americas,Americas
אבל,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
realidade,Americas,Americas,Americas,Americas
peux,Americas,Africa_Europe,Africa_Europe,Africa_Europe
günü,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
dejen,Americas,Americas,Americas,Americas
fiz,Americas,Americas,Americas,Americas
gimana,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
fim,Americas,Americas,Americas,Americas
brasileiro,Americas,Americas,Americas,Americas
até,Americas,Americas,Americas,Americas
mdr,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
mds,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
maluco,Africa_Europe,Americas,Americas,Americas
haben,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
goles,Americas,Americas,Americas,Americas
correcto,Americas,Americas,Americas,Americas
beleza,Americas,Americas,Americas,Americas
vacunas,Americas,Americas,Americas,Americas
tahun,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
vergüenza,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
کرنے,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
bateu,Americas,Americas,Americas,Americas
bater,Africa_Europe,Africa_Europe,Americas,Americas
ata,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
sahi,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
walmart,Americas,Americas,Americas,Americas
deixar,Americas,Americas,Americas,Americas
desgraça,Americas,Americas,Americas,Americas
tantos,Americas,Americas,Americas,Americas
está,Americas,Americas,Americas,Americas
esté,Americas,Americas,Americas,Americas
ikke,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
basketball,Americas,Americas,Americas,Americas
yüksek,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
entra,Americas,Americas,Americas,Americas
wisdom,Americas,Africa_Europe,Americas,Americas
parabéns,Americas,Americas,Americas,Americas
yeniden,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
amém,Americas,Americas,Americas,Americas
trem,Americas,Americas,Americas,Americas
este,Americas,Americas,Americas,Americas
esta,Americas,Americas,Americas,Americas
pesado,Americas,Americas,Americas,Americas
esto,Americas,Americas,Americas,Americas
longe,Americas,Americas,Americas,Americas
kayo,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
است,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
kaya,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
receber,Americas,Americas,Americas,Americas
campaña,Americas,Americas,Americas,Americas
aceitar,Africa_Europe,Americas,Americas,Americas
nuevos,Americas,Americas,Americas,Americas
brexit,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
carinho,Americas,Americas,Americas,Americas
dois,Americas,Americas,Americas,Americas
conversando,Americas,Americas,Americas,Americas
если,Asia_Australia,Asia_Australia,Africa_Europe,Africa_Europe
adiós,Americas,Americas,Americas,Americas
lpm,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
cama,Americas,Americas,Americas,Americas
mensaje,Americas,Americas,Americas,Americas
tequila,Americas,Americas,Americas,Americas
terlalu,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
doido,Americas,Americas,Americas,Americas
doida,Americas,Americas,Americas,Americas
boleh,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
rico,Americas,Americas,Americas,Americas
badan,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
plate,Americas,Americas,Americas,Americas
plata,Americas,Americas,Americas,Americas
بقى,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
ótimo,Americas,Americas,Americas,Americas
lembrando,Americas,Americas,Americas,Americas
compras,Americas,Americas,Americas,Americas
comprar,Africa_Europe,Africa_Europe,Americas,Americas
acabou,Americas,Americas,Americas,Americas
sueños,Americas,Americas,Americas,Americas
feio,Americas,Americas,Americas,Americas
guerra,Americas,Americas,Americas,Americas
diferença,Africa_Europe,Africa_Europe,Americas,Americas
peço,Africa_Europe,Africa_Europe,Africa_Europe,Americas
sedang,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
berarti,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
alguien,Americas,Americas,Americas,Americas
debo,Americas,Americas,Americas,Americas
debe,Americas,Americas,Americas,Americas
vídeo,Americas,Americas,Americas,Americas
geht,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
respeto,Americas,Americas,Americas,Americas
questa,Americas,Americas,Americas,Americas
questo,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
veel,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
seguindo,Americas,Americas,Americas,Americas
camisa,Americas,Americas,Americas,Americas
niya,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
vais,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
niyo,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
pensei,Africa_Europe,Americas,Americas,Americas
beijo,Americas,Americas,Americas,Americas
ajudar,Americas,Americas,Americas,Americas
очень,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
chile,Americas,Americas,Americas,Americas
suas,Africa_Europe,Americas,Americas,Americas
udah,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
fiquei,Americas,Americas,Americas,Americas
fotos,Americas,Americas,Americas,Americas
mujeres,Americas,Americas,Americas,Americas
buscando,Americas,Americas,Americas,Americas
closet,Americas,Americas,Americas,Americas
algum,Americas,Americas,Americas,Americas
rushing,Americas,Americas,Americas,Americas
hai,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
