id,label,Americas,Africa_Europe,Asia_Australia,ratioAmericas,ratioAfrica_Europe,ratioAsia_Australia,ratioMax,total
#truth,Americas,8,0,0,1.0,0.0,0.0,1.0,8
raining,Americas,4,1,2,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.5714285714285714,7
lelaki,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
trophy,Americas,8,1,0,0.8888888888888888,0.1111111111111111,0.0,0.8888888888888888,9
"1,4",Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
"1,5",Africa_Europe,1,4,1,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666666,6
"1,2",Americas,3,1,2,0.5,0.16666666666666666,0.3333333333333333,0.5,6
yellow,Americas,11,4,2,0.6470588235294118,0.23529411764705882,0.11764705882352941,0.6470588235294118,17
الصدر,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
four,Americas,42,9,0,0.8235294117647058,0.17647058823529413,0.0,0.8235294117647058,51
prices,Americas,6,5,0,0.5454545454545454,0.45454545454545453,0.0,0.5454545454545454,11
για,Africa_Europe,0,12,0,0.0,1.0,0.0,1.0,12
woods,Americas,10,1,1,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.8333333333333334,12
commented,Americas,1,0,0,1.0,0.0,0.0,1.0,1
素晴らしい,Asia_Australia,0,0,5,0.0,0.0,1.0,1.0,5
فضل,Africa_Europe,0,2,2,0.0,0.5,0.5,0.5,4
วเอง,Asia_Australia,1,0,5,0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334,6
حساب,Africa_Europe,0,5,0,0.0,1.0,0.0,1.0,5
.   .,Africa_Europe,0,1,1,0.0,0.5,0.5,0.5,2
otro,Americas,86,18,0,0.8269230769230769,0.17307692307692307,0.0,0.8269230769230769,104
increase,Africa_Europe,4,5,2,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.45454545454545453,11
grêmio,Americas,10,0,0,1.0,0.0,0.0,1.0,10
@kylekulinski,Americas,1,0,0,1.0,0.0,0.0,1.0,1
نیازی,Asia_Australia,0,0,6,0.0,0.0,1.0,1.0,6
habían,Americas,8,0,0,1.0,0.0,0.0,1.0,8
eligible,Americas,2,0,0,1.0,0.0,0.0,1.0,2
electricity,Africa_Europe,1,3,3,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,7
opinião,Americas,5,0,0,1.0,0.0,0.0,1.0,5
앞으로,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
otra,Americas,56,24,0,0.7,0.3,0.0,0.7,80
igual,Americas,151,23,0,0.867816091954023,0.13218390804597702,0.0,0.867816091954023,174
لدينا,Africa_Europe,0,4,0,0.0,1.0,0.0,1.0,4
tía,Americas,11,2,0,0.8461538461538461,0.15384615384615385,0.0,0.8461538461538461,13
loro,Africa_Europe,0,14,3,0.0,0.8235294117647058,0.17647058823529413,0.8235294117647058,17
tanggal,Asia_Australia,0,0,2,0.0,0.0,1.0,1.0,2
يمكن,Africa_Europe,0,12,0,0.0,1.0,0.0,1.0,12
berani,Asia_Australia,0,0,10,0.0,0.0,1.0,1.0,10
hermana,Americas,13,2,0,0.8666666666666667,0.13333333333333333,0.0,0.8666666666666667,15
lore,Americas,1,1,0,0.5,0.5,0.0,0.5,2
lord,Asia_Australia,51,34,60,0.35172413793103446,0.23448275862068965,0.41379310344827586,0.41379310344827586,145
@fashionpressnet,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
savings,Americas,2,1,1,0.5,0.25,0.25,0.5,4
под,Asia_Australia,0,1,3,0.0,0.25,0.75,0.75,4
tío,Americas,9,3,0,0.75,0.25,0.0,0.75,12
dela,Americas,82,5,2,0.9213483146067416,0.056179775280898875,0.02247191011235955,0.9213483146067416,89
dão,Americas,10,0,0,1.0,0.0,0.0,1.0,10
juventus,Africa_Europe,2,3,0,0.4,0.6,0.0,0.6,5
dele,Americas,84,7,1,0.9130434782608695,0.07608695652173914,0.010869565217391304,0.9130434782608695,92
hacked,Americas,3,2,0,0.6,0.4,0.0,0.6,5
@amitshah,Asia_Australia,0,1,17,0.0,0.05555555555555555,0.9444444444444444,0.9444444444444444,18
participar,Americas,4,0,0,1.0,0.0,0.0,1.0,4
deli,Americas,6,4,0,0.6,0.4,0.0,0.6,10
nights,Americas,16,3,0,0.8421052631578947,0.15789473684210525,0.0,0.8421052631578947,19
regional,Americas,9,3,1,0.6923076923076923,0.23076923076923078,0.07692307692307693,0.6923076923076923,13
fut,Americas,12,2,0,0.8571428571428571,0.14285714285714285,0.0,0.8571428571428571,14
gerade,Africa_Europe,1,29,0,0.03333333333333333,0.9666666666666667,0.0,0.9666666666666667,30
